employee_index,turnover_probability,risk_zone,actual_left
8382,0.12,Safe,0
2069,0.0,Safe,0
9599,0.03,Safe,0
3324,0.1,Safe,0
3585,0.23,Low-Risk,0
6028,0.24,Low-Risk,0
4046,0.04,Safe,0
1201,0.89,Medium-Risk,1
12885,0.01,Safe,0
12112,1.0,High-Risk,1
3847,0.02,Safe,0
11833,0.01,Safe,0
2329,0.04,Safe,0
3771,0.0,Safe,0
10504,0.01,Safe,0
6184,0.2,Safe,0
2907,0.2,Safe,0
4777,0.0,Safe,0
1215,0.98,High-Risk,1
7235,0.01,Safe,0
7506,0.02,Safe,0
701,0.96,High-Risk,1
781,1.0,High-Risk,1
13501,0.0,Safe,0
940,0.97,High-Risk,1
653,1.0,High-Risk,1
1155,1.0,High-Risk,1
13252,0.02,Safe,0
9162,0.0,Safe,0
1456,1.0,High-Risk,1
2581,0.0,Safe,0
6700,0.01,Safe,0
7648,0.0,Safe,0
10256,0.12,Safe,0
820,1.0,High-Risk,1
12991,0.0,Safe,0
6256,0.0,Safe,0
8002,0.01,Safe,0
5058,0.06,Safe,0
10503,0.0,Safe,0
11438,0.03,Safe,0
626,1.0,High-Risk,1
3761,0.0,Safe,0
8823,0.0,Safe,0
3015,0.1,Safe,0
13871,0.03,Safe,0
3498,0.07,Safe,0
2651,0.01,Safe,0
9985,0.21,Low-Risk,0
11456,0.01,Safe,0
2656,0.0,Safe,0
6283,0.0,Safe,0
204,1.0,High-Risk,1
1683,1.0,High-Risk,1
2699,0.13,Safe,0
11037,0.21,Low-Risk,0
832,0.99,High-Risk,1
1548,0.86,Medium-Risk,1
9676,0.07,Safe,0
10445,0.1,Safe,0
9902,0.02,Safe,0
5601,0.01,Safe,0
1143,1.0,High-Risk,1
336,0.98,High-Risk,1
4261,0.0,Safe,0
2570,0.33,Low-Risk,0
2038,0.04,Safe,0
11893,0.02,Safe,0
10036,0.0,Safe,0
9205,0.01,Safe,0
11739,0.0,Safe,0
288,1.0,High-Risk,1
1868,1.0,High-Risk,1
6090,0.0,Safe,0
10142,0.0,Safe,0
11212,0.0,Safe,0
13696,0.0,Safe,0
9369,0.0,Safe,0
3737,0.19,Safe,0
2953,0.01,Safe,0
6891,0.02,Safe,0
7074,0.0,Safe,0
9918,0.0,Safe,0
3401,0.0,Safe,0
11480,0.0,Safe,0
40,0.98,High-Risk,1
3935,0.05,Safe,0
4662,0.01,Safe,0
12226,1.0,High-Risk,1
2282,0.0,Safe,0
11297,0.12,Safe,0
10248,0.0,Safe,0
39,1.0,High-Risk,1
3539,0.03,Safe,0
3510,0.01,Safe,0
3942,0.0,Safe,0
13318,0.0,Safe,0
2078,0.01,Safe,0
14283,1.0,High-Risk,1
7766,0.01,Safe,0
1546,0.76,Medium-Risk,1
1631,1.0,High-Risk,1
4341,0.11,Safe,0
9064,0.02,Safe,0
2400,0.01,Safe,0
4618,0.13,Safe,0
13191,0.0,Safe,0
14680,1.0,High-Risk,1
2739,0.0,Safe,0
9931,0.02,Safe,0
12144,0.99,High-Risk,1
14636,1.0,High-Risk,1
2096,0.08,Safe,0
14992,1.0,High-Risk,1
2634,0.08,Safe,0
11956,0.04,Safe,0
4192,0.46,Low-Risk,0
9215,0.0,Safe,0
1715,1.0,High-Risk,1
7165,0.0,Safe,0
3687,0.0,Safe,0
8031,0.02,Safe,0
85,1.0,High-Risk,1
7191,0.19,Safe,0
2361,0.04,Safe,0
7073,0.12,Safe,0
1883,1.0,High-Risk,1
1458,1.0,High-Risk,1
7719,0.05,Safe,0
12166,1.0,High-Risk,1
2612,0.13,Safe,0
12783,0.01,Safe,0
6779,0.15,Safe,0
13452,0.0,Safe,0
937,1.0,High-Risk,1
1730,1.0,High-Risk,1
3570,0.0,Safe,0
6433,0.01,Safe,0
2713,0.0,Safe,0
9750,0.01,Safe,0
14329,1.0,High-Risk,1
1217,0.98,High-Risk,1
14657,1.0,High-Risk,1
13714,0.02,Safe,0
6188,0.01,Safe,0
5367,0.0,Safe,0
2376,0.03,Safe,0
12609,1.0,High-Risk,1
2731,0.17,Safe,0
7176,0.01,Safe,0
4429,0.01,Safe,0
1346,0.91,High-Risk,1
9417,0.13,Safe,0
11431,0.02,Safe,0
2181,0.02,Safe,0
3332,0.01,Safe,0
4793,0.0,Safe,0
494,1.0,High-Risk,1
4071,0.01,Safe,0
7576,0.07,Safe,0
5465,0.0,Safe,0
7712,0.41,Low-Risk,0
1856,1.0,High-Risk,1
1309,0.01,Safe,1
14095,0.0,Safe,0
7206,0.01,Safe,0
2338,0.0,Safe,0
4006,0.0,Safe,0
13180,0.01,Safe,0
11349,0.05,Safe,0
33,1.0,High-Risk,1
5101,0.01,Safe,0
9763,0.07,Safe,0
2083,0.12,Safe,0
8274,0.0,Safe,0
13559,0.01,Safe,0
7840,0.0,Safe,0
4292,0.01,Safe,0
582,1.0,High-Risk,1
6738,0.0,Safe,0
13837,0.0,Safe,0
10517,0.39,Low-Risk,0
13761,0.0,Safe,0
11342,0.0,Safe,0
8286,0.01,Safe,0
2740,0.21,Low-Risk,0
3899,0.01,Safe,0
5218,0.02,Safe,0
9960,0.01,Safe,0
287,0.95,High-Risk,1
14209,0.01,Safe,0
4854,0.01,Safe,0
11084,0.25,Low-Risk,0
12700,0.99,High-Risk,1
10986,0.01,Safe,0
14365,1.0,High-Risk,1
1243,0.99,High-Risk,1
8796,0.0,Safe,0
1544,0.94,High-Risk,1
13303,0.0,Safe,0
4434,0.0,Safe,0
7280,0.02,Safe,0
1524,0.98,High-Risk,1
5184,0.0,Safe,0
12340,1.0,High-Risk,1
10653,0.07,Safe,0
821,1.0,High-Risk,1
36,1.0,High-Risk,1
13508,0.12,Safe,0
2460,0.04,Safe,0
4219,0.0,Safe,0
562,1.0,High-Risk,1
9950,0.05,Safe,0
1846,1.0,High-Risk,1
5481,0.0,Safe,0
1710,0.86,Medium-Risk,1
8395,0.0,Safe,0
846,0.99,High-Risk,1
10911,0.01,Safe,0
11686,0.02,Safe,0
10099,0.42,Low-Risk,0
7932,0.14,Safe,0
14302,1.0,High-Risk,1
8743,0.02,Safe,0
8648,0.0,Safe,0
11174,0.1,Safe,0
7722,0.09,Safe,0
6676,0.01,Safe,0
14534,1.0,High-Risk,1
7616,0.21,Low-Risk,0
9233,0.0,Safe,0
2844,0.0,Safe,0
109,1.0,High-Risk,1
5542,0.02,Safe,0
2657,0.02,Safe,0
10006,0.0,Safe,0
3608,0.0,Safe,0
7415,0.01,Safe,0
10200,0.0,Safe,0
6983,0.0,Safe,0
4294,0.23,Low-Risk,0
5871,0.01,Safe,0
8434,0.01,Safe,0
5728,0.15,Safe,0
4444,0.15,Safe,0
359,1.0,High-Risk,1
14570,1.0,High-Risk,1
6648,0.04,Safe,0
9344,0.0,Safe,0
9315,0.0,Safe,0
9760,0.0,Safe,0
11848,0.0,Safe,0
12875,0.01,Safe,0
4250,0.05,Safe,0
3517,0.13,Safe,0
12688,1.0,High-Risk,1
11968,0.0,Safe,0
3795,0.06,Safe,0
1935,1.0,High-Risk,1
1877,1.0,High-Risk,1
10522,0.0,Safe,0
2111,0.02,Safe,0
10955,0.01,Safe,0
14256,0.99,High-Risk,1
5604,0.08,Safe,0
5756,0.55,Low-Risk,0
12222,1.0,High-Risk,1
13099,0.09,Safe,0
8405,0.0,Safe,0
5445,0.02,Safe,0
6574,0.02,Safe,0
9036,0.03,Safe,0
7461,0.25,Low-Risk,0
3389,0.31,Low-Risk,0
14635,1.0,High-Risk,1
1344,1.0,High-Risk,1
7221,0.01,Safe,0
14491,0.99,High-Risk,1
10801,0.01,Safe,0
13285,0.0,Safe,0
7632,0.03,Safe,0
4905,0.05,Safe,0
2408,0.05,Safe,0
4338,0.0,Safe,0
11473,0.13,Safe,0
4654,0.05,Safe,0
4543,0.09,Safe,0
10484,0.01,Safe,0
10852,0.0,Safe,0
11619,0.02,Safe,0
10137,0.01,Safe,0
8788,0.05,Safe,0
13475,0.0,Safe,0
2911,0.03,Safe,0
11634,0.0,Safe,0
5899,0.0,Safe,0
11877,0.08,Safe,0
4209,0.0,Safe,0
11890,0.02,Safe,0
7218,0.0,Safe,0
6626,0.01,Safe,0
343,1.0,High-Risk,1
2277,0.12,Safe,0
8223,0.02,Safe,0
5543,0.02,Safe,0
6169,0.12,Safe,0
10028,0.0,Safe,0
3688,0.01,Safe,0
11720,0.17,Safe,0
9258,0.02,Safe,0
7135,0.23,Low-Risk,0
2821,0.1,Safe,0
11003,0.01,Safe,0
12328,1.0,High-Risk,1
12625,1.0,High-Risk,1
8649,0.02,Safe,0
14834,1.0,High-Risk,1
2536,0.0,Safe,0
4110,0.0,Safe,0
9685,0.0,Safe,0
3910,0.06,Safe,0
198,1.0,High-Risk,1
5316,0.0,Safe,0
7806,0.25,Low-Risk,0
12248,1.0,High-Risk,1
189,0.99,High-Risk,1
5084,0.01,Safe,0
11998,0.01,Safe,0
4255,0.04,Safe,0
144,0.99,High-Risk,1
8529,0.0,Safe,0
13017,0.01,Safe,0
13455,0.0,Safe,0
6246,0.01,Safe,0
3596,0.08,Safe,0
9409,0.01,Safe,0
838,0.99,High-Risk,1
12350,1.0,High-Risk,1
3624,0.03,Safe,0
9537,0.0,Safe,0
7184,0.04,Safe,0
8139,0.0,Safe,0
9636,0.0,Safe,0
10583,0.0,Safe,0
1384,1.0,High-Risk,1
10764,0.0,Safe,0
1757,1.0,High-Risk,1
11782,0.0,Safe,0
9755,0.0,Safe,0
5121,0.0,Safe,0
4191,0.0,Safe,0
13621,0.01,Safe,0
13146,0.01,Safe,0
6951,0.01,Safe,0
14063,0.0,Safe,0
12755,0.99,High-Risk,1
1222,1.0,High-Risk,1
1338,0.03,Safe,1
14976,1.0,High-Risk,1
1588,0.48,Low-Risk,1
12784,0.03,Safe,0
1229,1.0,High-Risk,1
10858,0.0,Safe,0
1498,1.0,High-Risk,1
2027,0.0,Safe,0
2975,0.02,Safe,0
14877,1.0,High-Risk,1
1938,1.0,High-Risk,1
5102,0.0,Safe,0
827,0.09,Safe,1
4380,0.0,Safe,0
10112,0.05,Safe,0
13578,0.01,Safe,0
6344,0.0,Safe,0
8200,0.15,Safe,0
8550,0.0,Safe,0
4876,0.02,Safe,0
10599,0.0,Safe,0
13784,0.05,Safe,0
9087,0.01,Safe,0
6098,0.0,Safe,0
12126,1.0,High-Risk,1
6425,0.02,Safe,0
14111,0.01,Safe,0
56,1.0,High-Risk,1
11032,0.0,Safe,0
12659,0.99,High-Risk,1
12693,1.0,High-Risk,1
761,1.0,High-Risk,1
4622,0.0,Safe,0
7646,0.01,Safe,0
2757,0.0,Safe,0
5270,0.2,Safe,0
13215,0.0,Safe,0
13377,0.03,Safe,0
12279,1.0,High-Risk,1
6954,0.01,Safe,0
5373,0.0,Safe,0
13753,0.01,Safe,0
10870,0.13,Safe,0
12724,1.0,High-Risk,1
595,1.0,High-Risk,1
11593,0.0,Safe,0
6201,0.0,Safe,0
856,1.0,High-Risk,1
10648,0.01,Safe,0
3230,0.03,Safe,0
3978,0.01,Safe,0
5700,0.01,Safe,0
6301,0.02,Safe,0
5174,0.1,Safe,0
10645,0.0,Safe,0
14813,1.0,High-Risk,1
8614,0.01,Safe,0
9376,0.0,Safe,0
12650,1.0,High-Risk,1
4587,0.08,Safe,0
89,1.0,High-Risk,1
13541,0.05,Safe,0
9453,0.01,Safe,0
14847,1.0,High-Risk,1
14870,0.99,High-Risk,1
6455,0.1,Safe,0
1089,1.0,High-Risk,1
3245,0.06,Safe,0
8068,0.0,Safe,0
44,1.0,High-Risk,1
10656,0.0,Safe,0
13641,0.0,Safe,0
7553,0.03,Safe,0
12098,1.0,High-Risk,1
11056,0.05,Safe,0
12979,0.0,Safe,0
13631,0.0,Safe,0
2625,0.34,Low-Risk,0
9949,0.01,Safe,0
7474,0.0,Safe,0
9264,0.03,Safe,0
5119,0.0,Safe,0
8122,0.0,Safe,0
10555,0.01,Safe,0
10682,0.04,Safe,0
10988,0.1,Safe,0
10239,0.05,Safe,0
1999,1.0,High-Risk,1
6203,0.0,Safe,0
852,0.61,Medium-Risk,1
10784,0.06,Safe,0
8882,0.14,Safe,0
9275,0.0,Safe,0
2600,0.0,Safe,0
1432,0.91,High-Risk,1
1329,1.0,High-Risk,1
6538,0.01,Safe,0
12585,1.0,High-Risk,1
10871,0.0,Safe,0
11132,0.02,Safe,0
14403,1.0,High-Risk,1
13742,0.01,Safe,0
14052,0.0,Safe,0
5306,0.06,Safe,0
5136,0.16,Safe,0
6355,0.05,Safe,0
13370,0.02,Safe,0
7841,0.29,Low-Risk,0
10268,0.02,Safe,0
6647,0.02,Safe,0
6429,0.03,Safe,0
8931,0.0,Safe,0
3282,0.01,Safe,0
12324,1.0,High-Risk,1
10851,0.0,Safe,0
9703,0.01,Safe,0
13617,0.04,Safe,0
2837,0.08,Safe,0
4936,0.12,Safe,0
8752,0.03,Safe,0
10887,0.01,Safe,0
11617,0.0,Safe,0
9297,0.0,Safe,0
6365,0.1,Safe,0
3662,0.03,Safe,0
4159,0.0,Safe,0
13643,0.01,Safe,0
7264,0.02,Safe,0
10635,0.12,Safe,0
5049,0.0,Safe,0
9243,0.08,Safe,0
6050,0.0,Safe,0
13197,0.01,Safe,0
4117,0.02,Safe,0
13632,0.01,Safe,0
7055,0.05,Safe,0
13595,0.03,Safe,0
8942,0.0,Safe,0
13482,0.01,Safe,0
3053,0.03,Safe,0
14460,1.0,High-Risk,1
13086,0.06,Safe,0
13081,0.13,Safe,0
10563,0.13,Safe,0
7370,0.0,Safe,0
3598,0.66,Medium-Risk,0
9569,0.0,Safe,0
11042,0.0,Safe,0
6945,0.0,Safe,0
9512,0.19,Safe,0
3360,0.02,Safe,0
6523,0.0,Safe,0
2753,0.01,Safe,0
14425,1.0,High-Risk,1
13104,0.05,Safe,0
6837,0.0,Safe,0
3197,0.0,Safe,0
9341,0.09,Safe,0
11783,0.0,Safe,0
2936,0.01,Safe,0
9730,0.02,Safe,0
941,1.0,High-Risk,1
10465,0.05,Safe,0
10013,0.04,Safe,0
10335,0.15,Safe,0
10432,0.0,Safe,0
527,1.0,High-Risk,1
8142,0.04,Safe,0
4563,0.03,Safe,0
2060,0.0,Safe,0
1862,1.0,High-Risk,1
9991,0.12,Safe,0
123,0.99,High-Risk,1
2113,0.0,Safe,0
8808,0.36,Low-Risk,0
5866,0.32,Low-Risk,0
13855,0.0,Safe,0
14739,1.0,High-Risk,1
5988,0.01,Safe,0
4509,0.0,Safe,0
5921,0.05,Safe,0
8284,0.0,Safe,0
14925,1.0,High-Risk,1
4201,0.0,Safe,0
9631,0.06,Safe,0
4472,0.0,Safe,0
1441,0.93,High-Risk,1
13866,0.0,Safe,0
12104,1.0,High-Risk,1
12260,1.0,High-Risk,1
14581,1.0,High-Risk,1
6019,0.04,Safe,0
2145,0.04,Safe,0
10734,0.0,Safe,0
61,1.0,High-Risk,1
5447,0.04,Safe,0
6004,0.01,Safe,0
8694,0.03,Safe,0
11316,0.12,Safe,0
8806,0.18,Safe,0
3558,0.04,Safe,0
522,1.0,High-Risk,1
13499,0.01,Safe,0
12188,1.0,High-Risk,1
4174,0.14,Safe,0
12056,1.0,High-Risk,1
11528,0.0,Safe,0
1082,0.84,Medium-Risk,1
10593,0.01,Safe,0
1784,0.94,High-Risk,1
11413,0.12,Safe,0
1712,0.99,High-Risk,1
1654,1.0,High-Risk,1
13638,0.02,Safe,0
11357,0.02,Safe,0
1594,1.0,High-Risk,1
3994,0.01,Safe,0
454,1.0,High-Risk,1
10479,0.37,Low-Risk,0
5439,0.0,Safe,0
11386,0.0,Safe,0
5156,0.12,Safe,0
3452,0.02,Safe,0
3902,0.03,Safe,0
4480,0.03,Safe,0
7350,0.02,Safe,0
7660,0.01,Safe,0
5486,0.01,Safe,0
1476,0.64,Medium-Risk,1
558,1.0,High-Risk,1
11978,0.0,Safe,0
5541,0.08,Safe,0
11713,0.0,Safe,0
4262,0.0,Safe,0
476,1.0,High-Risk,1
11333,0.0,Safe,0
2979,0.03,Safe,0
3264,0.0,Safe,0
883,1.0,High-Risk,1
1714,1.0,High-Risk,1
12789,0.01,Safe,0
4221,0.03,Safe,0
1909,0.67,Medium-Risk,1
3958,0.0,Safe,0
1709,0.98,High-Risk,1
2690,0.06,Safe,0
9601,0.05,Safe,0
9203,0.27,Low-Risk,0
14027,0.0,Safe,0
6703,0.0,Safe,0
5981,0.0,Safe,0
10172,0.04,Safe,0
2922,0.01,Safe,0
6970,0.01,Safe,0
11450,0.0,Safe,0
8413,0.11,Safe,0
5704,0.06,Safe,0
9669,0.0,Safe,0
6143,0.14,Safe,0
14389,1.0,High-Risk,1
4425,0.09,Safe,0
10680,0.01,Safe,0
13652,0.0,Safe,0
1264,0.94,High-Risk,1
1292,1.0,High-Risk,1
14520,1.0,High-Risk,1
13873,0.02,Safe,0
2250,0.33,Low-Risk,0
11352,0.01,Safe,0
10192,0.02,Safe,0
9330,0.0,Safe,0
9432,0.0,Safe,0
13195,0.01,Safe,0
11542,0.01,Safe,0
741,0.66,Medium-Risk,1
3657,0.01,Safe,0
1293,0.11,Safe,1
12836,0.01,Safe,0
8597,0.0,Safe,0
5637,0.01,Safe,0
13047,0.0,Safe,0
11623,0.03,Safe,0
3718,0.01,Safe,0
10226,0.0,Safe,0
5600,0.35,Low-Risk,0
6984,0.01,Safe,0
14012,0.0,Safe,0
10815,0.0,Safe,0
9884,0.02,Safe,0
9422,0.01,Safe,0
3703,0.0,Safe,0
9749,0.06,Safe,0
12652,1.0,High-Risk,1
8795,0.32,Low-Risk,0
9163,0.01,Safe,0
2356,0.02,Safe,0
7853,0.0,Safe,0
1666,1.0,High-Risk,1
12498,1.0,High-Risk,1
11409,0.0,Safe,0
13460,0.03,Safe,0
566,1.0,High-Risk,1
1609,0.17,Safe,1
12810,0.0,Safe,0
1039,0.96,High-Risk,1
13553,0.0,Safe,0
12866,0.0,Safe,0
13173,0.0,Safe,0
5500,0.01,Safe,0
8417,0.0,Safe,0
7821,0.19,Safe,0
1280,0.92,High-Risk,1
11737,0.01,Safe,0
7426,0.01,Safe,0
7318,0.2,Safe,0
2998,0.0,Safe,0
12094,1.0,High-Risk,1
10671,0.34,Low-Risk,0
8154,0.0,Safe,0
6328,0.07,Safe,0
12952,0.0,Safe,0
3702,0.01,Safe,0
787,1.0,High-Risk,1
629,1.0,High-Risk,1
1994,1.0,High-Risk,1
4529,0.01,Safe,0
9222,0.02,Safe,0
6036,0.0,Safe,0
2962,0.02,Safe,0
14327,0.98,High-Risk,1
10083,0.01,Safe,0
4887,0.1,Safe,0
12897,0.0,Safe,0
7728,0.0,Safe,0
6885,0.01,Safe,0
12403,0.99,High-Risk,1
14108,0.01,Safe,0
11578,0.0,Safe,0
14291,1.0,High-Risk,1
10336,0.0,Safe,0
12855,0.03,Safe,0
11491,0.04,Safe,0
10473,0.0,Safe,0
3536,0.09,Safe,0
8322,0.11,Safe,0
4278,0.01,Safe,0
14152,0.02,Safe,0
11338,0.0,Safe,0
12147,1.0,High-Risk,1
6231,0.03,Safe,0
13743,0.01,Safe,0
8087,0.02,Safe,0
4489,0.32,Low-Risk,0
13616,0.0,Safe,0
12627,1.0,High-Risk,1
6939,0.01,Safe,0
860,0.97,High-Risk,1
7141,0.02,Safe,0
2039,0.02,Safe,0
8962,0.02,Safe,0
2029,0.14,Safe,0
14517,0.96,High-Risk,1
3209,0.02,Safe,0
488,1.0,High-Risk,1
2401,0.01,Safe,0
589,1.0,High-Risk,1
14770,1.0,High-Risk,1
8687,0.0,Safe,0
5078,0.0,Safe,0
11055,0.01,Safe,0
13188,0.03,Safe,0
5331,0.03,Safe,0
14177,0.0,Safe,0
8455,0.02,Safe,0
9099,0.0,Safe,0
9391,0.03,Safe,0
6293,0.07,Safe,0
8871,0.0,Safe,0
637,1.0,High-Risk,1
2489,0.0,Safe,0
14526,1.0,High-Risk,1
423,1.0,High-Risk,1
28,1.0,High-Risk,1
8428,0.01,Safe,0
8319,0.07,Safe,0
7958,0.0,Safe,0
12960,0.0,Safe,0
3752,0.03,Safe,0
11972,0.01,Safe,0
8715,0.0,Safe,0
6466,1.0,High-Risk,0
111,0.98,High-Risk,1
9045,0.0,Safe,0
763,1.0,High-Risk,1
1561,1.0,High-Risk,1
4993,0.04,Safe,0
799,0.99,High-Risk,1
14776,0.98,High-Risk,1
1088,0.97,High-Risk,1
8703,0.0,Safe,0
12583,1.0,High-Risk,1
6550,0.01,Safe,0
1467,1.0,High-Risk,1
14483,1.0,High-Risk,1
12628,0.99,High-Risk,1
9044,0.0,Safe,0
13419,0.08,Safe,0
10487,0.0,Safe,0
1881,1.0,High-Risk,1
1925,0.71,Medium-Risk,1
9147,0.0,Safe,0
10956,0.0,Safe,0
1735,1.0,High-Risk,1
14371,1.0,High-Risk,1
1145,1.0,High-Risk,1
5131,0.14,Safe,0
7313,0.15,Safe,0
2302,0.06,Safe,0
9077,0.0,Safe,0
713,0.99,High-Risk,1
12910,0.06,Safe,0
12926,0.0,Safe,0
1386,1.0,High-Risk,1
6731,0.1,Safe,0
9382,0.0,Safe,0
3968,0.0,Safe,0
13334,0.0,Safe,0
5402,0.28,Low-Risk,0
1731,1.0,High-Risk,1
6053,0.0,Safe,0
12943,0.02,Safe,0
14574,1.0,High-Risk,1
8670,0.07,Safe,0
692,0.99,High-Risk,1
5424,0.0,Safe,0
12084,1.0,High-Risk,1
5635,0.06,Safe,0
12872,0.0,Safe,0
3098,0.05,Safe,0
1515,0.67,Medium-Risk,1
2126,0.0,Safe,0
11272,0.03,Safe,0
5356,0.44,Low-Risk,0
7271,0.05,Safe,0
1122,1.0,High-Risk,1
11806,0.0,Safe,0
4709,0.18,Safe,0
8916,0.0,Safe,0
14102,0.0,Safe,0
5561,0.01,Safe,0
8220,0.0,Safe,0
133,1.0,High-Risk,1
4240,0.17,Safe,0
5186,0.0,Safe,0
1833,1.0,High-Risk,1
7966,0.01,Safe,0
7106,0.0,Safe,0
1684,1.0,High-Risk,1
11425,0.0,Safe,0
5262,0.1,Safe,0
1998,1.0,High-Risk,1
6191,0.01,Safe,0
422,1.0,High-Risk,1
8052,0.0,Safe,0
6113,0.01,Safe,0
8631,0.04,Safe,0
4635,0.04,Safe,0
12841,0.0,Safe,0
5892,0.0,Safe,0
12178,1.0,High-Risk,1
5217,0.0,Safe,0
6817,0.07,Safe,0
13906,0.0,Safe,0
3525,0.48,Low-Risk,0
12146,1.0,High-Risk,1
13977,0.0,Safe,0
2170,0.12,Safe,0
5992,0.0,Safe,0
12493,1.0,High-Risk,1
1611,1.0,High-Risk,1
9470,0.0,Safe,0
1760,1.0,High-Risk,1
14843,0.99,High-Risk,1
13883,0.0,Safe,0
7094,0.0,Safe,0
10332,0.01,Safe,0
5712,0.0,Safe,0
1076,1.0,High-Risk,1
5940,0.01,Safe,0
13803,0.0,Safe,0
9346,0.0,Safe,0
14630,0.94,High-Risk,1
13614,0.01,Safe,0
2635,0.0,Safe,0
3735,0.22,Low-Risk,0
13243,0.0,Safe,0
13678,0.01,Safe,0
8699,0.02,Safe,0
4002,0.19,Safe,0
14125,0.0,Safe,0
11011,0.01,Safe,0
2047,0.0,Safe,0
8180,0.0,Safe,0
12921,0.0,Safe,0
9835,0.1,Safe,0
4894,0.0,Safe,0
3639,0.05,Safe,0
9245,0.03,Safe,0
1952,0.99,High-Risk,1
14294,1.0,High-Risk,1
11267,0.01,Safe,0
5365,0.01,Safe,0
11376,0.0,Safe,0
11702,0.0,Safe,0
8676,0.01,Safe,0
5881,0.0,Safe,0
2708,0.02,Safe,0
6713,0.01,Safe,0
14407,0.9,Medium-Risk,1
14281,0.9,Medium-Risk,1
3605,0.05,Safe,0
13978,0.0,Safe,0
5451,0.16,Safe,0
5065,0.04,Safe,0
14993,0.94,High-Risk,1
12749,1.0,High-Risk,1
10726,0.01,Safe,0
5118,0.0,Safe,0
13930,0.0,Safe,0
9887,0.01,Safe,0
14848,1.0,High-Risk,1
3919,0.06,Safe,0
1795,0.95,High-Risk,1
11354,0.1,Safe,0
2531,0.08,Safe,0
6133,0.07,Safe,0
5582,0.02,Safe,0
11504,0.0,Safe,0
887,1.0,High-Risk,1
5786,0.02,Safe,0
3346,0.02,Safe,0
1167,0.94,High-Risk,1
5325,0.0,Safe,0
5355,0.09,Safe,0
13748,0.0,Safe,0
